"","Lake","Location","Date","latitude","longitude","elevation..m","depth..m","secchi..m","tow..m","temp..C","DO..perc","DO..mg.L","cond","pH","DOC..mg.L","TDN..ug.L","TDP..ug.L","chla..ug.L","SampleID","Group","Type","orig.class","phy.group","Ile","Leu","Phe","Thr","Val","Ile.n","Leu.n","Phe.n","Thr.n","Val.n","LD.class","LD1","LD2","Auto.mean","Auto.SD","Alloch.mean","Alloch.SD"
"14","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-10A","Zooplankton","Daphnia","Daphnia","cladocera",-24.8,-31.8,-32.2,-16.9,-29.9,2.32,-4.68,-5.08,10.22,-2.78,"POM",-2.34477536044207,-0.423148278677842,0.93,0.056,0.07,0.056
"15","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-09A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.740000000000002,"POM",0.125517441627714,-1.01403302749604,0.731,0.136,0.269,0.136
"16","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-TERPLA-15","Terrestrial Plants","Carex spp. ","Terrestrial Plants","Plants",-25.8,-37,-28,-19.8,-25.1,1.34,-9.86,-0.859999999999999,7.34,2.04,"Source",4.03825760238702,-0.81689208081839,NA,NA,NA,NA
"17","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-TERPLA-18","Terrestrial Plants","Salix spp. ","Terrestrial Plants","Plants",-21.7,-35.1,-26.2,-9.8,-25.8,2.02,-11.38,-2.48,13.92,-2.08,"Source",4.94871292486137,1.21487683524012,NA,NA,NA,NA
"18","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-TERPLA-27","Terrestrial Plants","Pinus contorta ssp. Murrayana","Terrestrial Plants","Plants",-21.4,-32.4,-26.1,-15.3,-20.4,1.72,-9.28,-2.98,7.82,2.72,"Source",2.89700570778733,-0.765296569528346,NA,NA,NA,NA
"19","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-08A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58,"POM",0.15258917389344,-1.58816124779992,0.752,0.138,0.248,0.138
"20","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-08A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58,"POM",0.15258917389344,-1.58816124779992,0.752,0.138,0.248,0.138
"21","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-09A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.740000000000002,"POM",0.125517441627714,-1.01403302749604,0.731,0.136,0.269,0.136
"22","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-GFF49","Zooplankton",">350um",">350um",">350um",-22.5,-33.2,-32.7,-20.5,-26.1,4.5,-6.2,-5.7,6.5,0.899999999999999,"POM",-1.82261025333872,-2.74687083190729,0.938,0.053,0.062,0.053
"23","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"ALR-BLUELAKE-30JUL2022-FILGREEN-2","Algae","Filamentous green algae","Algae","Algae",-17.02,-24.29,-23.06,-9.29,-21.94,2.1,-5.17,-3.94,9.83,-2.82,"Source",-0.764696175025131,1.84821007151988,NA,NA,NA,NA
"24","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"ALR-BLUELAKE-30JUL2022-FILGREEN-3","Algae","Filamentous green algae","Algae","Algae",-11.93,-14.74,-16.48,-6.87,-16.88,1.45,-1.36,-3.1,6.51,-3.5,"Source",-3.177888490868,3.64454010534696,NA,NA,NA,NA
"25","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-11A","Zooplankton","Daphnia","Daphnia","cladocera",-21.4,-31,-29.3,-14.8,-23.6,2.62,-6.98,-5.28,9.22,0.419999999999998,"POM",-0.283172133808031,-1.00157042002824,0.785,0.124,0.215,0.124
"26","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-GFF49","Zooplankton",">350um",">350um",">350um",-22.5,-33.2,-32.7,-20.5,-26.1,4.5,-6.2,-5.7,6.5,0.899999999999999,"POM",-1.82261025333872,-2.74687083190729,0.938,0.053,0.062,0.053
"27","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-GFF49","Zooplankton",">350um",">350um",">350um",-22.5,-33.2,-32.7,-20.5,-26.1,4.5,-6.2,-5.7,6.5,0.899999999999999,"POM",-1.82261025333872,-2.74687083190729,0.938,0.053,0.062,0.053
"28","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-10A","Zooplankton","Daphnia","Daphnia","cladocera",-24.8,-31.8,-32.2,-16.9,-29.9,2.32,-4.68,-5.08,10.22,-2.78,"POM",-2.34477536044207,-0.423148278677842,0.93,0.056,0.07,0.056
"29","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-09A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.740000000000002,"POM",0.125517441627714,-1.01403302749604,0.731,0.136,0.269,0.136
"30","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-09A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.740000000000002,"POM",0.125517441627714,-1.01403302749604,0.731,0.136,0.269,0.136
"31","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-09A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.740000000000002,"POM",0.125517441627714,-1.01403302749604,0.731,0.136,0.269,0.136
"32","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-TERPLA-SA","Terrestrial Plants","Artemisia tridentata","Terrestrial Plants","Plants",-25.7,-38,-29.7,-20.3,-30,3.04,-9.26,-0.960000000000001,8.44,-1.26,"Source",3.02435135153063,-0.52608279547922,NA,NA,NA,NA
"33","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-09A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.740000000000002,"POM",0.125517441627714,-1.01403302749604,0.731,0.136,0.269,0.136
"34","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"ALR-BLUELAKE-30JUL2022-EPILITHIC-1","Algae","Epilithic algae","Algae","Algae",-16.03,-20.87,-21.26,-13.16,-20.16,2.266,-2.574,-2.964,5.136,-1.864,"Source",-2.66714499571264,1.61023866811923,NA,NA,NA,NA
"35","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-10A","Zooplankton","Daphnia","Daphnia","cladocera",-24.8,-31.8,-32.2,-16.9,-29.9,2.32,-4.68,-5.08,10.22,-2.78,"POM",-2.34477536044207,-0.423148278677842,0.93,0.056,0.07,0.056
"36","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-10A","Zooplankton","Daphnia","Daphnia","cladocera",-24.8,-31.8,-32.2,-16.9,-29.9,2.32,-4.68,-5.08,10.22,-2.78,"POM",-2.34477536044207,-0.423148278677842,0.93,0.056,0.07,0.056
"37","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-GFF49","Zooplankton",">350um",">350um",">350um",-22.5,-33.2,-32.7,-20.5,-26.1,4.5,-6.2,-5.7,6.5,0.899999999999999,"POM",-1.82261025333872,-2.74687083190729,0.938,0.053,0.062,0.053
"38","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-GFF49","Zooplankton",">350um",">350um",">350um",-22.5,-33.2,-32.7,-20.5,-26.1,4.5,-6.2,-5.7,6.5,0.899999999999999,"POM",-1.82261025333872,-2.74687083190729,0.938,0.053,0.062,0.053
"39","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-10A","Zooplankton","Daphnia","Daphnia","cladocera",-24.8,-31.8,-32.2,-16.9,-29.9,2.32,-4.68,-5.08,10.22,-2.78,"POM",-2.34477536044207,-0.423148278677842,0.93,0.056,0.07,0.056
"40","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-11A","Zooplankton","Daphnia","Daphnia","cladocera",-21.4,-31,-29.3,-14.8,-23.6,2.62,-6.98,-5.28,9.22,0.419999999999998,"POM",-0.283172133808031,-1.00157042002824,0.785,0.124,0.215,0.124
"41","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-09A","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.740000000000002,"POM",0.125517441627714,-1.01403302749604,0.731,0.136,0.269,0.136
"42","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-10A","Zooplankton","Daphnia","Daphnia","cladocera",-24.8,-31.8,-32.2,-16.9,-29.9,2.32,-4.68,-5.08,10.22,-2.78,"POM",-2.34477536044207,-0.423148278677842,0.93,0.056,0.07,0.056
"43","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"SNL-ZOOP-11A","Zooplankton","Daphnia","Daphnia","cladocera",-21.4,-31,-29.3,-14.8,-23.6,2.62,-6.98,-5.28,9.22,0.419999999999998,"POM",-0.283172133808031,-1.00157042002824,0.785,0.124,0.215,0.124
"44","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"ALR-BLUELAKE-30JUL2022-EPILITHIC-2","Algae","Epilithic algae","Algae","Algae",-17.68,-21.92,-21.97,-12.78,-21.86,1.562,-2.678,-2.728,6.462,-2.618,"Source",-2.37744304684868,2.01431020433377,NA,NA,NA,NA
"45","Blue","Sierra Nevada","7/30/22",38.050952,-119.27033,3054,15.8496,4.8768,14.99616,12.8,73.8,7.92,74.7,7.97,0.85,137.16,22.6,0.34,"ALR-BLUELAKE-30JUL2022-FILGREEN-1","Algae","Filamentous green algae","Algae","Algae",-19.29,-23.26,-25.76,-14.12,-23.57,1.91,-2.06,-4.56,7.08,-2.37,"Source",-3.89812660235606,0.89266394087219,NA,NA,NA,NA
