"","SampleID","Group","orig.class","phy.group","Lake","Elevation.m","Ile","Leu","Phe","Thr","Val","Ile.n","Leu.n","Phe.n","Thr.n","Val.n"
"34","SNL-ZOOP-07A","Zooplankton","calanoid","copepoda","MayPond","2714",-30,-38.7,-34.7,-24.2,-31.4,1.8,-6.9,-2.9,7.6,0.400000000000002
"35","SNL-ZOOP-08A","Zooplankton","calanoid_cyclopoid","copepoda","Blue","3054",-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58
"36","SNL-ZOOP-09A","Zooplankton","calanoid_cyclopoid","copepoda","Blue","3054",-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.740000000000002
"37","SNL-ZOOP-10A","Zooplankton","Daphnia","cladocera","Blue","3054",-24.8,-31.8,-32.2,-16.9,-29.9,2.32,-4.68,-5.08,10.22,-2.78
"38","SNL-ZOOP-11A","Zooplankton","Daphnia","cladocera","Blue","3054",-21.4,-31,-29.3,-14.8,-23.6,2.62,-6.98,-5.28,9.22,0.419999999999998
"39","SNL-ZOOP-13A","Zooplankton","Daphnia","cladocera","Cascade","3140",-21.7,-34.4,-31.3,-16.1,-26.8,4.36,-8.34,-5.24,9.96,-0.740000000000002
"40","SNL-ZOOP-14A","Zooplankton","Daphnia","cladocera","Cascade","3140",-22.4,-33.8,-32,-19.4,-26.5,4.42,-6.98,-5.18,7.42,0.32
"41","SNL-ZOOP-15A","Zooplankton","Daphnia","cladocera","EasternBrook","3155",-22.7,-32.9,-29.6,-17.5,-24.9,2.82,-7.38,-4.08,8.02,0.620000000000001
"42","SNL-ZOOP-16A","Zooplankton","calanoid_cyclopoid","copepoda","EasternBrook","3155",-23.1,-33.3,-33,-16.8,-25.7,3.28,-6.92,-6.62,9.58,0.68
"43","SNL-ZOOP-17A","Zooplankton","calanoid_cyclopoid","copepoda","EasternBrook","3155",-23.3,-34.2,-31.1,-18.4,-27.6,3.62,-7.28,-4.18,8.52,-0.68
"44","SNL-ZOOP-18A","Zooplankton","calanoid","copepoda","Granite2","3178",-20,-30,-27.5,-13.4,-24,2.98,-7.02,-4.52,9.58,-1.02
"45","SNL-ZOOP-19A","Zooplankton","Daphnia","cladocera","Granite2","3178",-19,-27.7,-26,-12.8,-23,2.7,-6,-4.3,8.9,-1.3
"46","SNL-ZOOP-20A","Zooplankton","Ceriodaphnia","cladocera","Granite2","3178",-17.1,-24.9,-24.5,-9.1,-19.1,1.84,-5.96,-5.56,9.84,-0.16
"47","SNL-ZOOP-GFF47","Zooplankton",">350um",">350um","Sunrise2","2830",-29.1,-37.5,-36.3,-25.7,-35,3.62,-4.78,-3.58,7.02,-2.28
"48","SNL-ZOOP-GFF48","Zooplankton","Holopedium","cladocera","Cascade","3140",-23.2,-31.9,-30.6,-22.3,-30.4,4.48,-4.22,-2.92,5.38,-2.72
"49","SNL-ZOOP-GFF49","Zooplankton",">350um",">350um","Blue","3054",-22.5,-33.2,-32.7,-20.5,-26.1,4.5,-6.2,-5.7,6.5,0.899999999999999
"50","SNL-ZOOP-GFF53","Zooplankton",">350um",">350um","EasternBrook","3155",-24.3,-32.9,-32.9,-20.5,-26.5,3.12,-5.48,-5.48,6.92,0.919999999999998
"51","SNL-ZOOP-GFF65","Zooplankton",">350um",">350um","Lukens","2513",-24.4,-35.4,-34.6,-22.9,-29.2,4.9,-6.1,-5.3,6.4,0.100000000000001
"52","SNL-ZOOP-GFF66","Zooplankton",">350um",">350um","Greenstone","3091",-18.1,-28.1,-29.1,-13.2,-19.6,3.52,-6.48,-7.48,8.42,2.02
"53","SNL-ZOOP-GFF67","Zooplankton",">350um",">350um","Granite2","3178",-18.2,-26,-25.9,-14.4,-21.9,3.08,-4.72,-4.62,6.88,-0.619999999999997
"54","SNL-ZOOP-GFF69","Zooplankton",">350um",">350um","MayPond","2714",-33.1,-40.3,-39.4,-28.6,-36.4,2.46,-4.73999999999999,-3.84,6.96,-0.839999999999996
"55","SNL-ZOOP-GFF70","Zooplankton",">350um",">350um","Cascade","3140",-19.6,-31.8,-30.9,-18.7,-24,5.4,-6.8,-5.9,6.3,1
