Source,Lake,Location,Sample.names,Group,Type,orig.class,phy.group,group4,Ile,Leu,Phe,Thr,Val
Wall and Besser (this study),Blue,Sierra Nevada,ALR-BLUELAKE-30JUL2022-FILGREEN-1,Algae,Filamentous green algae,Algae,Algae,Algae,-19.29,-23.26,-25.76,-14.12,-23.57
Wall and Besser (this study),Blue,Sierra Nevada,ALR-BLUELAKE-30JUL2022-FILGREEN-2,Algae,Filamentous green algae,Algae,Algae,Algae,-17.02,-24.29,-23.06,-9.29,-21.94
Wall and Besser (this study),Blue,Sierra Nevada,ALR-BLUELAKE-30JUL2022-EPILITHIC-1,Algae,Epilithic algae,Algae,Algae,Algae,-16.03,-20.87,-21.26,-13.16,-20.16
Wall and Besser (this study),Blue,Sierra Nevada,ALR-BLUELAKE-30JUL2022-EPILITHIC-2,Algae,Epilithic algae,Algae,Algae,Algae,-17.68,-21.92,-21.97,-12.78,-21.86
Wall and Besser (this study),Blue,Sierra Nevada,ALR-BLUELAKE-30JUL2022-FILGREEN-3,Algae,Filamentous green algae,Algae,Algae,Algae,-11.93,-14.74,-16.48,-6.87,-16.88
Wall and Besser (this study),EasternBrook,Sierra Nevada,ALR-EASTBROOK-02AUG2022-EPISALMICDIATOMS-2,Algae,Epipsammic algae ,Algae,Algae,Algae,-23.78,-27.88,-27.43,-18.19,-30.48
Wall and Besser (this study),EasternBrook,Sierra Nevada,ALR-EASTBROOK-02AUG2022-EPISALMICDIATOMS-1,Algae,Epipsammic algae ,Algae,Algae,Algae,-23.17,-27.51,-28.41,-18.08,-32.14
Wall and Besser (this study),Sunrise2,Sierra Nevada,ALR-SUNRISE-31JUL2022-EPISALMIC-2,Algae,Epipsammic algae ,Algae,Algae,Algae,-24.87,-33.72,-29.11,-20.17,-30.62
Wall and Besser (this study),Sunrise2,Sierra Nevada,ALR-SUNRISE-31JUL2022-EPISALMIC-1,Algae,Epipsammic algae ,Algae,Algae,Algae,-25.29,-33.01,-31.09,-23.48,-33.89
Wall and Besser (this study),Blue,Sierra Nevada,SNL-POM-04,POM,POM <63um,POM,POM,POM,-20.3,-30.6,-29.3,-18.8,-23.7
Wall and Besser (this study),Cascade,Sierra Nevada,SNL-POM-01,POM,POM <63um,POM,POM,POM,-25.9,-33.3,-32.6,-29.6,-30.5
Wall and Besser (this study),EasternBrook,Sierra Nevada,SNL-POM-GFF75,POM,POM <63um,POM,POM,POM,-28.6,-33.6,-32.5,-24.9,-31.1
Wall and Besser (this study),EasternBrook,Sierra Nevada,SNL-POM-GFF55,POM,POM <63um,POM,POM,POM,-27.8,-34.1,-32.8,-25,-30.7
Wall and Besser (this study),Granite2,Sierra Nevada,SNL-POM-GFF62,POM,POM <63um,POM,POM,POM,-19.8,-27.6,-26.2,-18.1,-25
Wall and Besser (this study),Lukens,Sierra Nevada,SNL-POM-03,POM,POM <63um,POM,POM,POM,-28,-35,-35,-24.6,-29.8
Wall and Besser (this study),MayPond,Sierra Nevada,SNL-POM-05,POM,POM <63um,POM,POM,POM,-28.2,-34.6,-33.8,-24.2,-31.2
Wall and Besser (this study),Sunrise2,Sierra Nevada,SNL-POM-02,POM,POM <63um,POM,POM,POM,-30.9,-36.7,-34,-27.2,-31
Wall and Besser (this study),Blue,Sierra Nevada,SNL-TERPLA-15,Terrestrial Plants,Carex spp. ,Terrestrial Plants,Terrestrial Plants,Plants,-25.8,-37,-28,-19.8,-25.1
Wall and Besser (this study),Blue,Sierra Nevada,SNL-TERPLA-27,Terrestrial Plants,Pinus contorta ssp. Murrayana,Terrestrial Plants,Terrestrial Plants,Plants,-21.4,-32.4,-26.1,-15.3,-20.4
Wall and Besser (this study),Blue,Sierra Nevada,SNL-TERPLA-SA,Terrestrial Plants,Artemisia tridentata,Terrestrial Plants,Terrestrial Plants,Plants,-25.7,-38,-29.7,-20.3,-30
Wall and Besser (this study),Blue,Sierra Nevada,SNL-TERPLA-18,Terrestrial Plants,Salix spp. ,Terrestrial Plants,Terrestrial Plants,Plants,-21.7,-35.1,-26.2,-9.8,-25.8
